cve,event_type,event_date,source,raw_date_field
CVE-2021-27085,KEV,2021-11-03,KEV,dateAdded
CVE-2021-27101,KEV,2021-11-03,KEV,dateAdded
CVE-2021-27102,KEV,2021-11-03,KEV,dateAdded
CVE-2021-27103,KEV,2021-11-03,KEV,dateAdded
CVE-2021-27104,KEV,2021-11-03,KEV,dateAdded
CVE-2021-27561,KEV,2021-11-03,KEV,dateAdded
CVE-2021-27562,KEV,2021-11-03,KEV,dateAdded
CVE-2021-28310,KEV,2021-11-03,KEV,dateAdded
CVE-2021-28550,KEV,2021-11-03,KEV,dateAdded
CVE-2021-28663,KEV,2021-11-03,KEV,dateAdded
CVE-2021-28664,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30116,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30551,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30554,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30563,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30632,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30633,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30657,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30661,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30663,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30665,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30666,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30713,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30761,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30762,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30807,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30858,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30860,KEV,2021-11-03,KEV,dateAdded
CVE-2021-30869,KEV,2021-11-03,KEV,dateAdded
CVE-2021-31199,KEV,2021-11-03,KEV,dateAdded
CVE-2021-31201,KEV,2021-11-03,KEV,dateAdded
CVE-2021-31207,KEV,2021-11-03,KEV,dateAdded
CVE-2021-31755,KEV,2021-11-03,KEV,dateAdded
CVE-2021-31955,KEV,2021-11-03,KEV,dateAdded
CVE-2021-31956,KEV,2021-11-03,KEV,dateAdded
CVE-2021-31979,KEV,2021-11-03,KEV,dateAdded
CVE-2021-33739,KEV,2021-11-03,KEV,dateAdded
CVE-2021-33742,KEV,2021-11-03,KEV,dateAdded
CVE-2021-33771,KEV,2021-11-03,KEV,dateAdded
CVE-2021-34448,KEV,2021-11-03,KEV,dateAdded
CVE-2021-34473,KEV,2021-11-03,KEV,dateAdded
CVE-2021-34523,KEV,2021-11-03,KEV,dateAdded
CVE-2021-34527,KEV,2021-11-03,KEV,dateAdded
CVE-2021-35211,KEV,2021-11-03,KEV,dateAdded
CVE-2021-35395,KEV,2021-11-03,KEV,dateAdded
CVE-2021-35464,KEV,2021-11-03,KEV,dateAdded
CVE-2021-36741,KEV,2021-11-03,KEV,dateAdded
CVE-2021-36742,KEV,2021-11-03,KEV,dateAdded
CVE-2021-36942,KEV,2021-11-03,KEV,dateAdded
CVE-2021-36948,KEV,2021-11-03,KEV,dateAdded
CVE-2021-36955,KEV,2021-11-03,KEV,dateAdded
CVE-2021-37973,KEV,2021-11-03,KEV,dateAdded
CVE-2021-37975,KEV,2021-11-03,KEV,dateAdded
CVE-2021-37976,KEV,2021-11-03,KEV,dateAdded
CVE-2021-38000,KEV,2021-11-03,KEV,dateAdded
CVE-2021-38003,KEV,2021-11-03,KEV,dateAdded
CVE-2021-38645,KEV,2021-11-03,KEV,dateAdded
CVE-2021-38647,KEV,2021-11-03,KEV,dateAdded
CVE-2021-38648,KEV,2021-11-03,KEV,dateAdded
CVE-2021-38649,KEV,2021-11-03,KEV,dateAdded
CVE-2021-40444,KEV,2021-11-03,KEV,dateAdded
CVE-2021-40539,KEV,2021-11-03,KEV,dateAdded
CVE-2021-41773,KEV,2021-11-03,KEV,dateAdded
CVE-2021-42013,KEV,2021-11-03,KEV,dateAdded
CVE-2021-42258,KEV,2021-11-03,KEV,dateAdded
CVE-2021-22204,KEV,2021-11-17,KEV,dateAdded
CVE-2021-40449,KEV,2021-11-17,KEV,dateAdded
CVE-2021-42292,KEV,2021-11-17,KEV,dateAdded
CVE-2021-42321,KEV,2021-11-17,KEV,dateAdded
CVE-2018-14847,KEV,2021-12-01,KEV,dateAdded
CVE-2020-11261,KEV,2021-12-01,KEV,dateAdded
CVE-2021-37415,KEV,2021-12-01,KEV,dateAdded
CVE-2021-40438,KEV,2021-12-01,KEV,dateAdded
CVE-2021-44077,KEV,2021-12-01,KEV,dateAdded
CVE-2010-1871,KEV,2021-12-10,KEV,dateAdded
CVE-2017-12149,KEV,2021-12-10,KEV,dateAdded
CVE-2017-17562,KEV,2021-12-10,KEV,dateAdded
CVE-2019-0193,KEV,2021-12-10,KEV,dateAdded
CVE-2019-10758,KEV,2021-12-10,KEV,dateAdded
CVE-2019-13272,KEV,2021-12-10,KEV,dateAdded
CVE-2019-7238,KEV,2021-12-10,KEV,dateAdded
CVE-2020-17463,KEV,2021-12-10,KEV,dateAdded
CVE-2020-8816,KEV,2021-12-10,KEV,dateAdded
CVE-2021-35394,KEV,2021-12-10,KEV,dateAdded
CVE-2021-44168,KEV,2021-12-10,KEV,dateAdded
CVE-2021-44228,KEV,2021-12-10,KEV,dateAdded
CVE-2021-44515,KEV,2021-12-10,KEV,dateAdded
CVE-2021-4102,KEV,2021-12-15,KEV,dateAdded
CVE-2021-43890,KEV,2021-12-15,KEV,dateAdded
CVE-2013-3900,KEV,2022-01-10,KEV,dateAdded
CVE-2015-7450,KEV,2022-01-10,KEV,dateAdded
CVE-2017-1000486,KEV,2022-01-10,KEV,dateAdded
CVE-2018-13382,KEV,2022-01-10,KEV,dateAdded
CVE-2018-13383,KEV,2022-01-10,KEV,dateAdded
CVE-2019-10149,KEV,2022-01-10,KEV,dateAdded
CVE-2019-1458,KEV,2022-01-10,KEV,dateAdded
CVE-2019-1579,KEV,2022-01-10,KEV,dateAdded
CVE-2019-2725,KEV,2022-01-10,KEV,dateAdded
CVE-2019-7609,KEV,2022-01-10,KEV,dateAdded
CVE-2019-9670,KEV,2022-01-10,KEV,dateAdded
CVE-2020-6572,KEV,2022-01-10,KEV,dateAdded
CVE-2021-22017,KEV,2022-01-10,KEV,dateAdded
